LA,LO
51.4,13.7333
51.4333,14
51.45,13.9333
51.4,14
51.4167,13.9
51.3833,13.8
51.4667,13.8667
51.4333,13.7333
51.4167,13.9333
51.5195,14.0007
51.5456,13.9121
51.5,13.7667
51.6214,14.1309
51.5833,14
51.4653,13.868
51.4167,13.7667
51.3767,13.745
51.3833,13.7333
51.7612,14.3544
51.6833,14.4167
51.6833,14.5167
51.8167,14.1833
51.8167,14.2333
51.825,14.2833
51.85,14.2333
51.8167,14.25
51.8333,14.15
51.75,14.25
51.6,14.1667
51.65,14.2167
51.5667,14.1833
51.5667,14.5333
51.5833,14.6167
51.625,14.4917
51.5713,14.3699
51.5667,14.6417
51.6083,14.5208
51.6967,14.5533
51.7302,14.598
51.7,14.625
51.6433,14.63
51.6167,14.6
51.9537,14.6757
51.8056,14.4444
51.8832,14.4138
51.9,14.45
51.8333,14.5
51.8667,14.3667
51.875,14.4083
51.9,14.3167
51.9,14.5167
51.8667,14.5
51.7483,13.9543
51.6667,13.9167
51.6333,13.9333
51.6833,14
51.8626,13.9613
51.8333,13.9167
51.65,14.0333
51.5833,13.5667
51.6333,13.8833
51.6667,13.65
51.6667,13.7167
51.5833,13.8667
51.6276,13.7151
51.7333,13.7667
51.7103,13.6673
51.6833,13.7167
51.6,13.4333
51.6,13.3833
51.6833,13.6
51.6,13.5
51.6167,13.5667
51.7,13.5667
51.5875,13.2364
51.4768,13.5022
51.6833,13.2333
51.7833,13.3167
51.5167,13.3333
51.489,13.3901
51.4667,13.6167
51.4333,13.7
51.4667,13.5667
51.4,13.5667
51.3833,13.6667
51.4,13.5333
51.3833,13.6167
51.5,13.55
51.7333,13.4333
51.7167,13.3833
51.8,13.4333
51.7667,13.4667
51.7,13.4167
52.3879,13.5047
52.5167,13.4
52.4,13.0667
52.5167,13.1167
52.3976,13.2523
52.4,13.2333
52.3585,13.1918
52.3687,12.9188
52.3271,12.6625
52.3389,12.9722
52.2333,12.9667
52.45,12.7667
52.3012,13.0257
52.2722,13.0167
52.5589,13.107
52.6167,13.1333
52.5333,13.05
52.6333,12.7
52.6833,12.7167
52.65,12.6667
52.5406,12.9775
52.6,12.8833
52.6667,12.9
52.6667,12.6111
52.6167,12.8333
52.6333,12.8
52.5833,13
52.7167,12.65
52.7333,12.5833
52.4667,12.85
